Aid,artist_name,info
K8vZ917oTCfla108,Failure,https://twitter.com/Failure
Z7r9jZaGPQla109,MeatEater Podcast Live,Let google for it together
K8vZ917GniVla110,Randy Rogers Band,https://www.youtube.com/randyrogersband
K8vZ9171fEfla113,Kenny Wayne Shepherd,https://www.youtube.com/user/KennyWShepherd
K8vZ9175yx7la114,Greg Dulli,https://en.wikipedia.org/wiki/Greg_Dulli
K8vZ91757QVla115,The Hollies,https://itunes.apple.com/artist/id547019
K8vZ917GIn7la117,The Glitch Mob,https://www.youtube.com/user/glitchmob
K8vZ917GGhfla118,David Archuleta,https://www.youtube.com/user/davidarchuletaVEVO
K8vZ9174C6fla119,Whethan,{'id': '9dbb9d00-e2d3-484d-8049-10e5e125913c'}
K8vZ91796H0la124,Westerman,Let google for it together
K8vZ9171uMfla126,Clannad,https://www.youtube.com/user/ClannadOfficial
K8vZ917CXLfla130,Story Pirates,Let google for it together
K8vZ91711Yfla131,Taj Mahal,https://www.youtube.com/user/TajMahalMusic
K8vZ9179TiVla133,Pretty Woman: The Musical,Let google for it together
K8vZ9171CI0la134,Los Lobos,https://www.youtube.com/user/loslobosmusic
K8vZ9175ma0la135,Queen Nation,Let google for it together
K8vZ917b__7la136,My Fair Lady (Touring),Let google for it together
K8vZ917b__7la137,My Fair Lady (Touring),Let google for it together
K8vZ91712Sfla138,Stryper,https://en.wikipedia.org/wiki/Stryper
K8vZ917KBR0la139,Natiruts,https://www.youtube.com/user/natirutstv
K8vZ917ffwfla143,Maks & Val,Let google for it together
K8vZ917bZf7la145,Ally Brooke,Let google for it together
K8vZ917G7x0la147,¿Por qué los hombres aman a las cabronas?,Let google for it together
K8vZ9171Q67la148,Built To Spill,https://itunes.apple.com/us/artist/id161731
K8vZ917CBV0la153,John Cleese,{'id': '589a0ad5-30d4-4bbc-adb3-373ce0ad49ae'}
K8vZ917bUS7la155,George Michael Reborn - A Tribute to George Michael,Let google for it together
K8vZ9174JM0la157,Revolucion de Amor,Let google for it together
Z7r9jZa5iTla158,Devastation on the Nation,Let google for it together
K8vZ9171uwfla159,Blue Oyster Cult,https://www.youtube.com/user/BlueOysterCultVEVO
K8vZ917bSO0la160,Trevor Daniel,Let google for it together
K8vZ9171up7la161,Karla Bonoff,https://twitter.com/karlabonoff
K8vZ917p0S0la162,Slenderbodies,Let google for it together
K8vZ917GoYVla163,The Sweet,https://en.wikipedia.org/wiki/Sweet_(band)
K8vZ9171KXfla168,Jon B.,https://www.youtube.com/user/JonBVEVO
K8vZ91712G7la169,Kingdom Come,https://www.youtube.com/user/kingdomcometv
K8vZ917bshVla170,Retters Academy of Dance,Let google for it together
K8vZ9179YL7la179,Leonid & Friends,Let google for it together
K8vZ9175EoVla180,Madeleine Peyroux,https://www.youtube.com/channel/UCdL-6Fxe8Mago4ELldWr2gA
K8vZ9175Tafla181,David Bisbal,https://www.facebook.com/davidbisbal
K8vZ9171Ft7la184,GBH,{'id': 'db5cbc07-bda1-48c1-9f42-f7132fa96690'}
K8vZ917120fla185,Poco,https://en.wikipedia.org/wiki/Poco
K8vZ917oBnfla186,International City Theatre,Let google for it together
K8vZ917Kpufla187,Thrive Dance Center,Let google for it together
K8vZ917oBnfla188,International City Theatre,Let google for it together
