Lid,longitude,latitude,address,zipcode
ld001,-71.094037,42.339579,Massachusetts/Boston/465 Huntington Ave,02115
ld002,-71.093930,40.779672,New York/New York/1000 5th Ave,10028
ld003,-73.960348,40.781410,New York/New York/1048 5th Ave,10028
ld004,-118.144530,34.144120,California/Los Angeles/300 East Green Street Pasadena,91101
ld005,-118.228010,34.167580,California/Los Angeles/Glendale,91208
ld006,-118.255290,34.040661,California/Los Angeles/110 East 9th Street,90079
ld007,-118.235597,34.041182,California/Los Angeles/525 South Hewitt Street,90013
