Lid,longitude,latitude,address,zipcode
KovZpZA11JtA-116,-71.1195379,42.3518332,Massachusetts/Boston/967 Commonwealth Avenue/time_zone:America/New_York,02215
KovZpZAEAdIA-117,-70.811438,42.90703,New Hampshire/Hampton Beach/169 Ocean Blvd/time_zone:America/New_York,03842
KovZpapwne-118,-71.1326128,42.3528999,Massachusetts/Boston/158 Brighton Avenue/time_zone:America/New_York,02134
KovZpZAEkFlA-120,-71.975699,41.4489233,Connecticut/Mashantucket/39 Norwich Westerly Road/time_zone:America/New_York,06355
KovZpZAE7v6A-121,-71.437762,41.892518,Rhode Island/Lincoln/100 Twin River Rd/time_zone:America/New_York,02865
KovZpZAEAIvA-122,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
KovZpZA11JtA-126,-71.1195379,42.3518332,Massachusetts/Boston/967 Commonwealth Avenue/time_zone:America/New_York,02215
KovZpZAEAdEA-128,-71.03587836,42.34851323,Massachusetts/Boston/290 Northern Ave/time_zone:America/New_York,02210
KovZpZAEAdIA-131,-70.811438,42.90703,New Hampshire/Hampton Beach/169 Ocean Blvd/time_zone:America/New_York,03842
KovZpZAEAIvA-132,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
KovZpZA11JtA-133,-71.1195379,42.3518332,Massachusetts/Boston/967 Commonwealth Avenue/time_zone:America/New_York,02215
KovZpZAEAIvA-134,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
KovZpZAEAIvA-136,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
KovZpa4tUe-137,-70.95121002,42.46480942,Massachusetts/Lynn/3 City Hall Sq./time_zone:America/New_York,01901
KovZ917AQ07-138,-70.878915,42.551455,Massachusetts/Beverly/286 Cabot Street/time_zone:America/New_York,01915
KovZpZAEA7eA-139,-71.0957036,42.3471841,Massachusetts/Boston/15 Lansdowne St./time_zone:America/New_York,02215
KovZpZA11JtA-140,-71.1195379,42.3518332,Massachusetts/Boston/967 Commonwealth Avenue/time_zone:America/New_York,02215
KovZpZAEAIvA-141,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
KovZpZAE7v6A-143,-71.437762,41.892518,Rhode Island/Lincoln/100 Twin River Rd/time_zone:America/New_York,02865
